PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,TIPUS VEHICLE,Columna amb georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
Endesa,VIA PUBLICA,NORMAL,Schuko,41.381421,2.18197,19 AjBCN-Endesa-Correus-Via Laietana,,,LC001,"Plaça Antoni Lòpez,  s/n",Barcelona,8,Barcelona,2,moto,POINT (2.18197 41.381421),512,29
,,NORMAL,Schuko,41.56064,2.0059,Aparcament Plaça Progrés,,,,"Plaça del Progrés, 8",Barcelona,8,Terrassa,4,cotxe i moto,POINT (2.0059 41.56064),862,26
"Viena, Sprinter i Norauto",APARCAMENT CC,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.3354,1.68557,EdRsR CC Vilafranca del Penedés QR (AC22kW),22,AC,,"Avinguda de Tarragona, 143",Barcelona,8,Vilafranca del Penedès,2,cotxe i moto,POINT (1.68557 41.3354),940,32
SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.37764,2.13894,Saba Aparcament Estació de Sants,,,,Plaça Joan Peiró,Barcelona,8,Barcelona,2,cotxe i moto,POINT (2.13894 41.37764),512,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.37532,2.169709,B:SM 48 - Plaça Raquel Meyer - Paral·lel,,,BAMSA007,"Carrer de l'Abat Safont, 2",Barcelona,8,Barcelona,1,cotxe,POINT (2.169709 41.37532),512,29
Generalitat de Catalunya,Aparcament Estació,NORMAL,Schuko,41.48402,1.91808,Intercanviador FGC Martorell,,,FGCMART,Avinguda Comte de Llobregat - Plaça Joan Serrats,Barcelona,8,MARTORELL,2,cotxe i moto,POINT (1.91808 41.48402),555,31
GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.415125,2.136311,EdRR-Alfons Comín-Vallcarca (DC50kW AC43kW),50,AC-DC,FC004,"Plaça Alfons Comín, 12- Isaac Newton",Barcelona,8,Barcelona,1,cotxe,POINT (2.136311 41.415125),512,29
Institut Català d'Energia i Ajuntament de Figueres,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.25973,2.9666,EdRR Figueres 1 Creu de la mà (DC50kW AC43kW) PIRVEC-18,50,AC-DC,PIRVEC-18,"Carrer Nou, 164",Girona,17,Figueres,2,,POINT (2.9666 42.25973),191,6
BIMSA,VIA PUBLICA,NORMAL,Schuko,41.395305,2.153849,Lateral-Muntanya Diagonal (Balmes-Tusset) 2,,,LC050,"Avinguda Diagonal, 508-510",Barcelona,8,Barcelona,2,moto,POINT (2.153849 41.395305),512,29
,,superRAPID,TESLA,41.49923,2.07282,TESLA Supercarregador - Sant Cugat del Vallès (120kW),120,DC,,"Camí de Can Camps, 13",Barcelona,8,Sant Cugat del Vallés,7,cotxe,POINT (2.07282 41.49923),937,26
Endesa,VIA PUBLICA,NORMAL,Schuko,41.407269,2.138413,16 AjBCN-Endesa,,,LC012,"Carrer de Balmes,422 - Carrer de Castanyer",Barcelona,8,Barcelona,2,moto,POINT (2.138413 41.407269),512,29
Aparcament Cal Llobet-Selba,APARCAMENT PUBLIC,NORMAL,Schuko,41.78188554764706,1.836778074502945,Aparcament Cal Llobet-Selba,,,,"Carrer Roger de Flor, 11",Barcelona,8,Santpedor,1,cotxe i moto,POINT (1.836778074502945 41.78188554764706),770,18
Institut Català d'Energia i Ajuntament de Figueres,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.26886,2.96692,EdRR Figueres 2 -Josep Tarradellas- (DC50kW AC43kW) PIRVEC-19,50,AC-DC,PIRVEC-19,"Plaça President Josep Tarradellas, 15",Girona,17,Figueres,2,,POINT (2.96692 42.26886),191,6
Restaurant El Molí de Mallol,RESTAURANT,NORMAL,Schuko,41.3793661,1.1631832,Restaurant El Molí de Mallol,,,,"Carrer  de la Muralla  de Santa Anna, 19",Tarragona,43,Montblanc,1,moto i cotxe,POINT (1.1631832 41.3793661),783,28
ESSER,ESTACIÓ DE SERVEI,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.62414,2.675,EdRR ESSER Pineda (DC50kW AC43kW),50,AC-DC,,"Carrer Carles I, 8",Barcelona,8,Pineda de Mar,2,,POINT (2.675 41.62414),883,25
Endesa,VIA PUBLICA,NORMAL,Schuko,41.429535,2.158481,02 AjBCN-Endesa,,,LC031,"Carrer de Lisboa, 7-11",Barcelona,8,Barcelona,2,moto,POINT (2.158481 41.429535),512,29
,,semiRAPID,2xMENNEKES.F + 2TESLA,41.37631,2.14932,EdRsR CC Las Arenas (AC22kW),22,AC,,"Gran Via de les Corts Catalanes, 373-385",Barcelona,8,Barcelona,4,,POINT (2.14932 41.37631),512,29
,,semiRAPID,MENNEKES.F,41.61072,2.23988,EdRsR EP-Estabanell Lliçà QR (AC22kW),22,AC,,"Carrer de l'Aliança, 14",Barcelona,8,Lliçà d'Amunt,2,cotxe i moto,POINT (2.23988 41.61072),934,22
,,NORMAL,Schuko,41.22512,1.5442,Les Mates - El Vendrell,,,,Carrer Les Mates 1,Tarragona,43,El Vendrell,4,cotxe i moto,POINT (1.5442 41.22512),456,33
Institut Català d'Energia i Ajuntament de Girona,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.99248,2.81913,EdRR Girona Nord -Carles Puigdemont- (DC50kW AC43kW),50,AC-DC,PIRVEC-5,"Carrer Joan Josep Tharrats i Vidal, 2",Girona,17,Girona,2,cotxe,POINT (2.81913 41.99248),133,14
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.394238,2.181891,B:SM 10 - Estació Barcelona-Nord,,,BSM014,"Carrer d'Alí Bei, 54",Barcelona,8,Barcelona,4+4,cotxe i moto,POINT (2.181891 41.394238),512,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.430428,2.187965,B:SM 36 - Sant Andreu Teatre,,,BSM024,"Carrer de les Monges, 2",Barcelona,8,Barcelona,2+1,cotxe i moto,POINT (2.187965 41.430428),512,29
Valencia 2013,APARCAMENT PUBLIC,NORMAL,Schuko,41.392466102,2.163201936,Valencia 2013,,,,"Carrer València, 270",Barcelona,8,Barcelona,1,,POINT (2.163201936 41.392466102),512,29
Institut Català d'Energia i Ajuntament de Mataró,,semiRAPID,CCS Combo2+ChadeMO+MENNEKES.F,41.5379,2.45285,EdRsR Marítim Mataró (DC25kW AC25kW),22,AC-DC,,"Passeig del Callao, 220",Barcelona,8,Mataró,2,,POINT (2.45285 41.5379),701,25
,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.55784,2.04247,EdRsR Cementiri de Terrassa (7.5kW),7.5,AC,,"Carretera de Montcada, 779A",Barcelona,8,Terrassa,2,,POINT (2.04247 41.55784),862,26
Institut Català d'Energia i GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.38244,2.18361,EdRR-Pla de Palau  (DC50kW AC43kW),50,AC-DC,PIRVEC-10 + FC14,"Pla de Palau, 4",Barcelona,8,Barcelona,1,cotxe,POINT (2.18361 41.38244),512,29
Gintra-Ap Plaça de Cuba,APARCAMENT PUBLIC,NORMAL,Schuko,41.537302431,2.440399469,Gintra-Ap Plaça de Cuba,,,,"Carrer Cuba, 40",Barcelona,8,Mataró,1,,POINT (2.440399469 41.537302431),701,25
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.95399,3.12487,TESLA Destianció - Mas de Torrent Hotel & Spa (11kW),11,AC,,Afores de Torrent,Girona,17,Torrent,1,cotxe,POINT (3.12487 41.95399),892,16
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.384186,2.122279,B:SM 38 - Tanatori Les Corts,,,BSM007,"Avinguda  de Joan XXIII, 23 - 25",Barcelona,8,Barcelona,2+2,cotxe i moto,POINT (2.122279 41.384186),512,29
HOTEL NH CONSTANZA,HOTEL,NORMAL,Schuko,41.3915983,2.177850499999977,HOTEL NH PODIUM,,,,"Carrer de Bailén, 4-6",Barcelona,8,Barcelona,1,,POINT (2.177850499999977 41.3915983),512,29
CC CARREFOUR MATARÓ,APARCAMENT CC,NORMAL,Schuko,41.51978,2.421356,CC CARREFOUR Cabrera de Mar,,,,"Carretera N-II, km 644",Barcelona,8,Cabrera de Mar,2,cotxe i moto,POINT (2.421356 41.51978),886,25
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.4274,2.1772,B:SM 16 - Illa Borbó,,,BSM019,"Carrer de Ramon Albó ,77",Barcelona,8,Barcelona,1+1,cotxe i moto,POINT (2.1772 41.4274),512,29
Endesa,VIA PUBLICA,NORMAL,Schuko,41.423615,2.179456,11 AjBCN-Endesa Garcilaso,,,LC019,"Carrer de Garcilaso, 204",Barcelona,8,Barcelona,2,moto,POINT (2.179456 41.423615),512,29
El Corte Ingles Tarragona,APARCAMENT CC,NORMAL,Schuko,41.121159436,1.242038612,CC El Corte Ingles (Tarragona),,,,Avinguda  President LLuis Companys 7-11,Tarragona,43,Tarragona,3,cotxe i moto,POINT (1.242038612 41.121159436),230,37
Parking Ninot,,NORMAL,Schuko i MENNEKES.F,41.3897592260418,2.1551764011383,Aparcament Ninot,,,,"Carrer de Provença, 192",Barcelona,8,Barcelona,2,cotxe i moto,POINT (2.1551764011383 41.3897592260418),512,29
Ajuntament de Sant Cugat del Vallès,VIA PUBLICA,NORMAL,Schuko,41.469931,2.08801,Plaça. Mil·lenari-Auditori Sant Cugat,,,,Avinguda Pla del Vinyet 30T-Plaça Mil·lenari,Barcelona,8,Sant Cugat del Valles,2,cotxe i moto,POINT (2.08801 41.469931),937,26
Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.51058,2.13254,EdRR Barberà del Vallès (DC50kW AC43kW) AMB9,50,AC-DC,AMB9,"Carrer d'Arquímedes, 4",Barcelona,8,Barberà del Vallès,2,,POINT (2.13254 41.51058),891,26
GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.40477,2.174794,EdRR-Sagrada Família-Provença -KFC (DC50kW AC43kW),50,AC-DC,FC009,"Carrer Provença, 447",Barcelona,8,Barcelona,1,cotxe,POINT (2.174794 41.40477),512,29
22@,VIA PUBLICA,NORMAL,Schuko,41.396897,2.200017,29 AjBCN-22@ Ciutat de Granada,,,LC024,"Carrer de la Ciutat de Granada, 17",Barcelona,8,Barcelona,1,cotxe i moto,POINT (2.200017 41.396897),512,29
,,semiRAPID,2xMENNEKES.F,41.66519,1.86011,EdRsR Sant Vicenç de Castellet (AC22kW),22,AC,,"Plaça Generalitat, 4",Barcelona,8,Sant Vicenç de Castellet,2,,POINT (1.86011 41.66519),752,18
Ajuntament de Ripoll,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,42.2006726430273,2.19027712941169,EdRsR Ajuntament Ripoll (AC22kW),22,AC,,"Carrer Berenguer el Vell, (Ajuntament)",Girona,17,Ripoll,2,cotxe i moto,POINT (2.19027712941169 42.2006726430273),362,7
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.388,2.17318,TESLA Destinació - Hotel H10 Cubik (22kW),22,AC,,"Via Laietana, 69",Barcelona,8,Barcelona,1,cotxe,POINT (2.17318 41.388),512,29
AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.15034,1.110766,Aparcament Carrilet,,,,"Avinguda del Carrilet, 40",Tarragona,43,Reus,2,cotxe i moto,POINT (1.110766 41.15034),421,39
,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.23018,1.74523,EdRsR Sant Pere de Ribes 2 (AC22kW),22,AC,,"Avinguda de Mas d'En Serra, 2,",Barcelona,8,Sant Pere de Ribes,2,cotxe i moto,POINT (1.74523 41.23018),541,34
TABASA E.S. Tunel Vallvidrera,ESTACIÓ SERVEI,NORMAL,Schuko,41.433258,2.078548,97 TABASA E.S. Tunel Vallvidrera,,,,"Carretera C-16, km 6,45",Barcelona,8,Barcelona,4,cotxe i moto,POINT (2.078548 41.433258),937,26
,,semiRAPID,2xMENNEKES.F,41.28755,1.25847,EdRsR Valls (AC22kW),22,AC,,"Carrer Prat de la Riba, 16",Tarragona,43,Valls,2,,POINT (1.25847 41.28755),500,30
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.401794,2.160702,B:SM 47 - Siracusa,,,BAMSA010,"Carrer de Siracusa, 39 - 51",Barcelona,8,Barcelona,1,cotxe,POINT (2.160702 41.401794),512,29
Hotel Turó de la Torre,HOTEL,NORMAL,Schuko,41.73874569186171,1.841205060482025,Hotel Turó de la Torre,,,,"P.I. Els Dolors, Carrer de Sallent, S/N, Torre Alberni",Barcelona,8,Manresa,1,,POINT (1.8412050604820251 41.73874569186171),877,18
Institut Català d'Energia i Ajuntament de Roses,,semiRAPID i NORMAL,2xMENNEKES.F + 2xSchuko,42.26494,3.17073,EdRsR Roses (AC22kW) PIRVEC-22,22,AC,PIRVEC-22,"Avinguda de Rhode, 58",Girona,17,Roses,2,,POINT (3.17073 42.26494),363,6
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.388797,2.192651,B:SM 40 - Wellington - Zoo,,,BSM039,"Carrer de Ramon Trias Fargas, 19",Barcelona,8,Barcelona,1,cotxe,POINT (2.192651 41.388797),512,29
Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.29728,2.00811,EdRR Gavà (DC50kW AC43kW) AMB4,50,AC-DC,AMB4,"Carrer del Progrès, 54",Barcelona,8,Gavà,4,cotxe i moto,POINT (2.00811 41.29728),559,31
Ajuntament de Castelldefels,VIA PUBLICA,NORMAL,Schuko,41.281941,1.980239,Aparcament Arcadi Balaguer-Albert Einstein,,,,Carrer d'Arcadi Balaguer- Carrer d'Albert Einstein,Barcelona,8,Castelldefels,2,cotxe i moto,POINT (1.980239 41.281941),539,31
Parc cientific,APARCAMENT PUBLIC,NORMAL,Schuko,41.381573,2.114353,110 Parc cientific,,,,"Avinguda del Dr. Gregorio Marañón, 8",Barcelona,8,Barcelona,13,cotxe i moto,POINT (2.114353 41.381573),512,29
BIMSA,VIA PUBLICA,NORMAL,Schuko,41.393659,2.148857,Lateral-Mar Diagonal (Casanova-Muntaner) 1,,,LC041,"Avinguda Diagonal, 449",Barcelona,8,Barcelona,2,moto,POINT (2.148857 41.393659),512,29
,,semiRAPID i NORMAL,2xMENNEKES.F+2xSchuko,42.35933,1.69682,EdRsR Martinet (AC22kW),22,AC,,"Camí Montellà, 25",Lleida,25,Martinet,2,,POINT (1.69682 42.35933),433,4
Aparcament Centre Olot,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,42.18294,2.48422,Aparcament Centre Olot,,,,"Passeig del Bisbe Ramon Guillamet, 7",Girona,17,Olot,2,cotxe,POINT (2.48422 42.18294),294,10
BIMSA,VIA PUBLICA,semiRAPID,MENNEKES,41.39537,2.153832,(eDUM) Lateral-Muntanya Diagonal (Balmes-Tusset) (7-12kW),7.5,AC,QC008,"Avinguda Diagonal, 508",Barcelona,8,Barcelona,2,mercaderies,POINT (2.153832 41.39537),512,29
AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.149887,1.105901,Aparcament Pastoreta,,,,"Plaça Pastoreta, 10",Tarragona,43,Reus,2,cotxe i moto,POINT (1.105901 41.149887),421,39
IBIL,ESTACIÓ DE SERVEI (IBIL),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.52801,1.8809321,IBIL-ES REPSOL A2 BurgerKing (DC50kW AC43kW),50,AC-DC,,"Carretera C-1414, Autovia A2 km 581,5, sortida 581 dir.TGN o 582B dir.BCN",Barcelona,8,Esparreguera,1,cotxe,POINT (1.8809321 41.52801),608,31
Endesa,VIA PUBLICA,NORMAL,Schuko,41.402999,2.165666,12 AjBCN-Endesa,,,LC004,"Carrer Indústria, 19 - Passeig de Sant Joan",Barcelona,8,Barcelona,2,moto,POINT (2.165666 41.402999),512,29
Ajuntament Montornès,VIA PUBLICA,NORMAL,MENNEKES.F+Schuko,41.545427,2.266663,Ajuntament Montornès,,,,"Avinguda de la Llibertat, 2",Barcelona,8,Montornès del Vallès,2,cotxe i moto,POINT (2.266663 41.545427),706,22
CC ALDI,APARCAMENT CC,NORMAL,MENNEKES.F,41.321165,2.027702,CC ALDI,,,,"Carretera Barcelona, 84",Barcelona,8,Viladecans,4,cotxe,POINT (2.027702 41.321165),511,31
Endesa,VIA PUBLICA,NORMAL,Schuko,41.420013,2.20167,10 AjBCN-Endesa Guipúscoa,,,LC023,"Rambla de Guipúscoa, 103-105",Barcelona,8,Barcelona,2,moto,POINT (2.20167 41.420013),512,29
Institut Català d'Energia i Ajuntament de Mataró,,semiRAPID,2xMENNEKES.F,41.54148,2.44324,EdRsR Mataró Muralla Presó (AC22kW),22,AC,,"Muralla de la Presó, 11",Barcelona,8,Mataró,2,,POINT (2.44324 41.54148),701,25
Ajuntament de  El Masnou,VIA PUBLICA,NORMAL,Schuko,41.4821,2.3229,Ajuntament de El Masnou 2,,,,"Carrer Fontanils, 122",Barcelona,8,El Masnou,1,cotxe o moto,POINT (2.3229 41.4821),96,25
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.384087,2.142749,B:SM 44 - Tarradelles-Nicaragua,,,BAMSA014,"Avinguda  de Josep Tarradellas, 46",Barcelona,8,Barcelona,1,cotxe,POINT (2.142749 41.384087),512,29
ENGESTUR,APARCAMENT CC,NORMAL,Schuko,41.454780677,2.246644505,CC BCN-Manel Valls,,,,Plaça Manel Valls,Barcelona,8,Badalona,6,,POINT (2.246644505 41.454780677),531,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.413015,2.221156,B:SM 30 - Plaça del Fòrum,,,BSM027,"Carrer del Camp de la Bota 4C, - Plaça Ernest Narcís i Roca",Barcelona,8,Barcelona,4+2,cotxe i moto,POINT (2.221156 41.413015),841,29
Gas Natural Fenosa,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.52427,2.42684,EdRR Mataró Tub Verd COFAST (DC50kW AC43kW),50,AC-DC,,"Carretera N-II, km 644",Barcelona,8,Mataró,2,,POINT (2.42684 41.52427),701,25
HOTEL NH CONSTANZA,HOTEL,NORMAL,Schuko,41.3893292,2.166049599999951,HOTEL NH CALDERON,,,,"Rambla de Catalunya, 26",Barcelona,8,Barcelona,1,,POINT (2.166049599999951 41.3893292),512,29
,,,CCS Combo2+ChadeMO+MENNEKES.M,41.37302,2.17892,EdRR-Port de Barcelona (DC50kW AC43kW),50,AC-DC,,,Barcelona,8,Barcelona,1,cotxe,POINT (2.17892 41.37302),512,29
ENGESTUR,APARCAMENT CC,NORMAL,Schuko,41.452527719,2.249290201,CC BCN-El Viver,,,,"Avinguda  President Companys, 3",Barcelona,8,Badalona,6,,POINT (2.249290201 41.452527719),531,29
,ESTACIÓ DE SERVEI (IBIL),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.25597,1.77889,IBIL ES REPSOL SANT PERE DE RIBES (DC50kW AC43kW),50,AC-DC,,"Avinguda de Sitges, 100",Barcelona,8,Sant Pere de Ribes,2,,POINT (1.77889 41.25597),541,34
MEROIL,ESTACIÓ SERVEI,NORMAL,Schuko,41.448,2.1883,Meroil Meridiana,,,,"Avinguda Meridiana, 666",Barcelona,8,Barcelona,1,cotxe i moto,POINT (2.1883 41.448),512,29
Endesa,VIA PUBLICA,NORMAL,Schuko,41.390945,2.196515,13 AjBCN-Endesa,,,LC034,"Avinguda  d'Icària, 145 - Carrer de Rosa Censat, 14",Barcelona,8,Barcelona,2,moto,POINT (2.196515 41.390945),512,29
Boï-Taull resort,APARCAMENT HOTEL,NORMAL,Schuko,42.5157068,0.8565367,Boï-Taull Resort,,,,"Urbanización Pla de L'Ermita, Carrer Sant Quirze, s/n",Lleida,25,Boï-Taüll,,cotxe i moto,POINT (0.8565367 42.5157068),321,3
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.379559,2.16201,B:SM 46 - Urgell,,,BAMSA003,"Carrer del Comte d'Urgell, 14",Barcelona,8,Barcelona,1,cotxe,POINT (2.16201 41.379559),512,29
TESLA Hotel Mas la Boella,APARCAMENT HOTEL,superRAPID,TESLA+MENNEKES.F,41.134761,1.169125,TESLA Supercarregador - Tarragona - Hotel Mas la Boella (120kW),120,DC,,"Autovia T-11 sortida 12, La Canonja",Tarragona,43,La Canonja,4,cotxe,POINT (1.169125 41.134761),235,37
Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.4828,2.05134,EdRR Sant Cugat (DC50kW AC43kW) AMB8,50,AC-DC,AMB8,"Avinguda de la Via Augusta, 2-14",Barcelona,8,Sant Cugat del Vallès,2,,POINT (2.05134 41.4828),937,26
,,NORMAL,Schuko,41.56035,2.00633,Plaça Progrés-Motos,,,,"Carrer Arquimedes, 142",Barcelona,8,Terrassa,2,cotxe,POINT (2.00633 41.56035),862,26
Ajuntament Avià,VIA PUBLICA,semiRAPID,MENNEKES.F,42.07696,1.82252,EdRsR Avià (AC22kW),22,AC,,"Avinguda Pau Casals,22",Barcelona,8,Àvia,1,cotxe i moto,POINT (1.82252 42.07696),103,8
Institut Català d'Energia i Ajuntament de Sant Feliu de Guíxols,,semiRAPID,2xMENNEKES.F,41.79432,3.01903,EdRsR Guíxols-Mas Trempat (AC22kW) PIRVEC-30,22,AC,PIRVEC-30,"Carrer Mas Trempat, 1",Girona,17,Sant Feliu de Guíxols,2,,POINT (3.01903 41.79432),852,16
,,semiRAPID i NORMAL,2xMENNEKES.F+Schuko,41.14367,1.12927,EdRsR FiraReus (7.5kW),7.5,AC,,Avinguda Argentina,Tarragona,43,Reus,,,POINT (1.12927 41.14367),421,39
,,semiRAPID,2xMENNEKES.F,41.75166,1.87694,EdRsR Sant Fruitós del Bages 1 (AC22kW),22,AC,,"Carretera de Vic, 96",Barcelona,8,Sant Fruitós de Bages,,,POINT (1.87694 41.75166),788,18
Ajuntament de Cabrils,APARCAMENT PUBLIC,NORMAL,Schuko,41.526897,2.366464,Aparcament Concòrdia,,,,"Carrer del Torrent Roig, 6, Aparcament",Barcelona,8,Cabrils,1,cotxe i moto,POINT (2.366464 41.526897),712,25
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.4053,2.1429,B:SM 22 - Mitre Putxet,,,BSM018,"Ronda General Mitre, 203",Barcelona,8,Barcelona,2,cotxe,POINT (2.1429 41.4053),512,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.403165,2.189422,B:SM 3 - Badajoz -Glòries,,,BSM020,"Carrer de Badajoz, 168",Barcelona,8,Barcelona,3+2,cotxe i moto,POINT (2.189422 41.403165),512,29
SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.387398,2.168515,77 SABA Rambla Catalunya,,,,"Rambla de Catalunya, 15",Barcelona,8,Barcelona,2,cotxe,POINT (2.168515 41.387398),512,29
HOTEL MELIÀ SITGES,APARCAMENT PUBLIC,NORMAL,Schuko,41.23712,1.82353,Hotel Melià Sitges,,,,"Joan Salvat Papasseit, 38",Barcelona,8,Sitges,4,cotxe i moto,POINT (1.82353 41.23712),457,34
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.382737,2.194412,B:SM 15 - Hospital del Mar,,,BSM031,"Passeig  Marítim de la Barceloneta, 23-31",Barcelona,8,Barcelona,6+3,cotxe i moto,POINT (2.194412 41.382737),512,29
Abertis-saba,VIA PUBLICA,NORMAL,Schuko,41.340265,2.125109,Seu zona franca Abertis,,,,Carrer numero Un,Barcelona,8,Barcelona,2,cotxe i moto,POINT (2.125109 41.340265),512,29
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.37035,2.17139,TESLA Destinació - Hotel Miramar (22kW),22,AC,,"Plaça Carlos Ibañez, 3",Barcelona,8,Barcelona,2,cotxe,POINT (2.17139 41.37035),512,29
GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.431152,2.183394,EdRR-Meridiana-Estació BUS (DC50kW AC43kW),50,AC-DC,FC008,"Avinguda Meridiana, 400E",Barcelona,8,Barcelona,1,cotxe,POINT (2.183394 41.431152),512,29
Estabanell y Pahisa,VIA PUBLICA (codiQR),NORMAL,Schuko,41.682718,2.2825619,EP-Estabanell y Pahisa-Antic Safareig,,,,Passeig del Congost - Carretera Nova,Barcelona,8,La Garriga,1,cotxe,POINT (2.2825619 41.682718),627,22
CC IKEA SABADELL,APARCAMENT CC,NORMAL,MENNEKES.F+Schuko,41.511,2.1063,CC IKEA SABADELL (7.5kW),7.5,AC,,Carrer de Serra del Galliners- Pssg Sant Pau de Riu Sec,Barcelona,8,Sabadell,21,cotxe i moto,POINT (2.1063 41.511),660,26
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.401408,2.133986,B:SM 12 - Ferran Casablancas,,,BSM003,"Carrer de Josep Balari, 9",Barcelona,8,Barcelona,3+1,cotxe i moto,POINT (2.133986 41.401408),512,29
SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.389408,2.183425,78 SABA Lluís Companys,,,,"Passeig Lluís Companys, 2",Barcelona,8,Barcelona,4,cotxe,POINT (2.183425 41.389408),512,29
Institut Català d'Energia i Ajuntament de Montblanc,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M i 2xShucko+2MENNEKES.F,41.37739,1.16358,EdRR Montblanc (DC50kW AC43kW+AC22kW) PIRVEC-14,50,AC-DC,PIRVEC-14,"Muralla de Santa Tecla, 51",Tarragona,43,Montblanc,4,,POINT (1.16358 41.37739),783,28
CC BARNASUD,"APARCAMENT CC P-1, Zona Carrefour",NORMAL,Schuko,41.296209,2.006457,CC BARNASUD,,,,"Carrer del Progrés, 69 - Carrer de l'Energia, 30",Barcelona,8,Gavà,2,cotxe i moto,POINT (2.006457 41.296209),559,31
,,,,41.08313,0.95859,EdRsR Mont-Roig del Camp Miami (AC22kW),22,AC,,"Carrer de Soria, 17",Tarragona,43,Mont-Roig del Camp,,,POINT (0.95859 41.08313),155,39
Gintra-Ap. Parc Central,APARCAMENT PUBLIC,NORMAL,Schuko,41.544018552,2.440582297,Gintra-Ap. Parc Central,,,,"Camí de la Geganta, 15",Barcelona,8,Mataró,1,,POINT (2.440582297 41.544018552),701,25
,VIA PUBLICA,semiRAPID,2xMENNEKES.F,41.79012,2.78023,EdRsR Vidreres (AC22kW),22,AC,,"Carrer Costa Brava, 123",Girona,17,Vidreres,2,cotxe,POINT (2.78023 41.79012),810,20
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.37212,2.156625,B:SM 7 - Ciutat del Teatre,,,BSM008,"Carrer de la França Xica, 35",Barcelona,8,Barcelona,3,cotxe,POINT (2.156625 41.37212),512,29
