PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,TIPUS VEHICLE,Columna amb georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
,APARCAMENT HOTEL,superRAPID,TESLA,41.85889,2.76771,TESLA Supercarregador - PGA Caldes de Malavella (120kW),120,DC,,"Carretera N-II, km 701",Girona,17,Caldes de Malavella,10,cotxe,POINT (2.76771 41.85889),654,20
Aparcament Sofia,APARCAMENT PÚBLIC,NORMAL,Schuko,41.234074,1.80405,"Aparcament Avinguda Sofia, Calipolis",,,,"Avinguda Sofia, 2",Barcelona,8,Sitges,2,cotxe i moto,POINT (1.80405 41.234074),457,34
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.379936,2.189115,B:SM 59 - Barceloneta Centre,,,BAMSA011,"Carrer Escuder, 1",Barcelona,8,Barcelona,1,cotxe,POINT (2.189115 41.379936),512,29
,,semiRAPID,2xMENNEKES.F+ 2xschuko,41.08313,0.95859,EdRsR Mont-Roig del Camp Ajuntament (AC22kW),22,AC,,"Carretera de Colldejou, 2",Tarragona,43,Mont-Roig del Camp,2,,POINT (0.95859 41.08313),155,39
,,,CCS Combo2+ChadeMO+MENNEKES.M,41.01008,0.93888,EdRR Mont-Roig del Camp (DC50kW AC43kW) PIRVEC-31,50,AC-DC,PIRVEC-31,"Avinguda del Mar, 21",Tarragona,43,Mont-Roig del Camp,,,POINT (0.93888 41.01008),155,39
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.4049,2.17729,B:SM 21 - Mercat Sagrada Família,,,BSM042,"Carrer de Mallorca, 425-433",Barcelona,8,Barcelona,1,cotxe,POINT (2.17729 41.4049),512,29
Aparcament Abart,APARCAMENT PUBLIC,NORMAL,Schuko,41.396271,2.149651,111 Aparcament Abart,,,,"Travessera de Gràcia, 53-65",Barcelona,8,Barcelona,1,cotxe i moto,POINT (2.149651 41.396271),512,29
IBIL,ESTACIÓ DE SERVEI (IBIL),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.38266517890297,2.106382995843887,IBIL-ES Seu RACC (DC50kW AC43kW),50,AC-DC,,Avinguda Diagonal 695,Barcelona,8,Barcelona,1,cotxe,POINT (2.1063829958438873 41.38266517890297),512,29
SERVICIOS MERIDIANA,APARCAMENT PUBLIC,NORMAL,Schuko,41.399605,2.170186,114 SERVICIOS MERIDIANA,,,,"Carrer de Mallorca, 335",Barcelona,8,Barcelona,6,cotxe i moto,POINT (2.170186 41.399605),512,29
CC CARREFOUR El Prat,APARCAMENT CC,NORMAL,Schuko,41.335179,2.088768,CC CARREFOUR El Prat,,,,Autovia Castelldefels km 194,Barcelona,8,El Prat de Llobregat,2,cotxe i moto,POINT (2.088768 41.335179),503,31
